dataset,seed,parameter,value,ari
iris,23,organ_merge_radius,2.8,0.6201351808870379
iris,23,organ_merge_radius,3.6,0.6201351808870379
iris,23,organ_merge_radius,4.4,0.6201351808870379
iris,23,tangent_alignment,0.0,0.6201351808870379
iris,23,tangent_alignment,0.35,0.6201351808870379
iris,23,tangent_alignment,0.65,0.6201351808870379
iris,23,compact_refinement_steps,0.0,0.5583714437541352
iris,23,compact_refinement_steps,18.0,0.6201351808870379
iris,23,compact_refinement_steps,30.0,0.6201351808870379
iris,23,compact_refinement_restarts,1.0,0.5923326221845838
iris,23,compact_refinement_restarts,10.0,0.6201351808870379
iris,23,compact_refinement_restarts,15.0,0.6201351808870379
wine,3,organ_merge_radius,2.8,0.8974949815093207
wine,3,organ_merge_radius,3.6,0.8974949815093207
wine,3,organ_merge_radius,4.4,0.8974949815093207
wine,3,tangent_alignment,0.0,0.8974949815093207
wine,3,tangent_alignment,0.35,0.8974949815093207
wine,3,tangent_alignment,0.65,0.8974949815093207
wine,3,compact_refinement_steps,0.0,0.42347468791626597
wine,3,compact_refinement_steps,18.0,0.8974949815093207
wine,3,compact_refinement_steps,30.0,0.8974949815093207
wine,3,compact_refinement_restarts,1.0,0.8803997758776985
wine,3,compact_refinement_restarts,10.0,0.8974949815093207
wine,3,compact_refinement_restarts,15.0,0.8974949815093207
wine,7,organ_merge_radius,2.8,0.8974949815093207
wine,7,organ_merge_radius,3.6,0.8974949815093207
wine,7,organ_merge_radius,4.4,0.8974949815093207
wine,7,tangent_alignment,0.0,0.8974949815093207
wine,7,tangent_alignment,0.35,0.8974949815093207
wine,7,tangent_alignment,0.65,0.8974949815093207
wine,7,compact_refinement_steps,0.0,-0.01027602053357585
wine,7,compact_refinement_steps,18.0,0.8974949815093207
wine,7,compact_refinement_steps,30.0,0.8974949815093207
wine,7,compact_refinement_restarts,1.0,0.8803997758776985
wine,7,compact_refinement_restarts,10.0,0.8974949815093207
wine,7,compact_refinement_restarts,15.0,0.8974949815093207
wine,11,organ_merge_radius,2.8,0.8974949815093207
wine,11,organ_merge_radius,3.6,0.8974949815093207
wine,11,organ_merge_radius,4.4,0.8974949815093207
wine,11,tangent_alignment,0.0,0.8974949815093207
wine,11,tangent_alignment,0.35,0.8974949815093207
wine,11,tangent_alignment,0.65,0.8974949815093207
wine,11,compact_refinement_steps,0.0,-0.0015385119771071992
wine,11,compact_refinement_steps,18.0,0.8974949815093207
wine,11,compact_refinement_steps,30.0,0.8974949815093207
wine,11,compact_refinement_restarts,1.0,0.8803997758776985
wine,11,compact_refinement_restarts,10.0,0.8974949815093207
wine,11,compact_refinement_restarts,15.0,0.8974949815093207
wine,19,organ_merge_radius,2.8,0.8974949815093207
wine,19,organ_merge_radius,3.6,0.8974949815093207
wine,19,organ_merge_radius,4.4,0.8974949815093207
wine,19,tangent_alignment,0.0,0.8974949815093207
wine,19,tangent_alignment,0.35,0.8974949815093207
wine,19,tangent_alignment,0.65,0.8974949815093207
wine,19,compact_refinement_steps,0.0,0.42880372461605987
wine,19,compact_refinement_steps,18.0,0.8974949815093207
wine,19,compact_refinement_steps,30.0,0.8974949815093207
wine,19,compact_refinement_restarts,1.0,0.382354476860915
wine,19,compact_refinement_restarts,10.0,0.8974949815093207
wine,19,compact_refinement_restarts,15.0,0.8974949815093207
wine,23,organ_merge_radius,2.8,0.8974949815093207
wine,23,organ_merge_radius,3.6,0.8974949815093207
wine,23,organ_merge_radius,4.4,0.8974949815093207
wine,23,tangent_alignment,0.0,0.8974949815093207
wine,23,tangent_alignment,0.35,0.8974949815093207
wine,23,tangent_alignment,0.65,0.8974949815093207
wine,23,compact_refinement_steps,0.0,0.41479374807036806
wine,23,compact_refinement_steps,18.0,0.8974949815093207
wine,23,compact_refinement_steps,30.0,0.8974949815093207
wine,23,compact_refinement_restarts,1.0,0.8974949815093207
wine,23,compact_refinement_restarts,10.0,0.8974949815093207
wine,23,compact_refinement_restarts,15.0,0.8974949815093207
breast_cancer,3,organ_merge_radius,2.8,0.6707206476880808
breast_cancer,3,organ_merge_radius,3.6,0.6707206476880808
breast_cancer,3,organ_merge_radius,4.4,0.6707206476880808
breast_cancer,3,tangent_alignment,0.0,0.6707206476880808
breast_cancer,3,tangent_alignment,0.35,0.6707206476880808
breast_cancer,3,tangent_alignment,0.65,0.6707206476880808
breast_cancer,3,compact_refinement_steps,0.0,0.017291523464991028
breast_cancer,3,compact_refinement_steps,18.0,0.6707206476880808
breast_cancer,3,compact_refinement_steps,30.0,0.6707206476880808
breast_cancer,3,compact_refinement_restarts,1.0,0.676504895633523
breast_cancer,3,compact_refinement_restarts,10.0,0.6707206476880808
breast_cancer,3,compact_refinement_restarts,15.0,0.6707206476880808
breast_cancer,7,organ_merge_radius,2.8,0.6707206476880808
breast_cancer,7,organ_merge_radius,3.6,0.6707206476880808
breast_cancer,7,organ_merge_radius,4.4,0.6707206476880808
breast_cancer,7,tangent_alignment,0.0,0.6707206476880808
breast_cancer,7,tangent_alignment,0.35,0.6707206476880808
breast_cancer,7,tangent_alignment,0.65,0.6707206476880808
breast_cancer,7,compact_refinement_steps,0.0,0.014754127895842538
breast_cancer,7,compact_refinement_steps,18.0,0.6707206476880808
breast_cancer,7,compact_refinement_steps,30.0,0.6707206476880808
breast_cancer,7,compact_refinement_restarts,1.0,0.676504895633523
breast_cancer,7,compact_refinement_restarts,10.0,0.6707206476880808
