dataset,seed,parameter,value,ari
circles,11,tangent_alignment,0.65,1.0
circles,11,compact_refinement_steps,0.0,1.0
circles,11,compact_refinement_steps,5.0,1.0
circles,11,compact_refinement_steps,10.0,1.0
circles,11,compact_refinement_steps,18.0,1.0
circles,11,compact_refinement_steps,30.0,1.0
circles,11,compact_refinement_restarts,1.0,1.0
circles,11,compact_refinement_restarts,3.0,1.0
circles,11,compact_refinement_restarts,5.0,1.0
circles,11,compact_refinement_restarts,10.0,1.0
circles,11,compact_refinement_restarts,15.0,1.0
wine,11,organ_merge_radius,2.8,0.8974949815093207
wine,11,organ_merge_radius,3.2,0.8974949815093207
wine,11,organ_merge_radius,3.6,0.8974949815093207
wine,11,organ_merge_radius,4.0,0.8974949815093207
wine,11,organ_merge_radius,4.4,0.8974949815093207
wine,11,tangent_alignment,0.0,0.8974949815093207
wine,11,tangent_alignment,0.2,0.8974949815093207
wine,11,tangent_alignment,0.35,0.8974949815093207
wine,11,tangent_alignment,0.5,0.8974949815093207
wine,11,tangent_alignment,0.65,0.8974949815093207
wine,11,compact_refinement_steps,0.0,-0.0015385119771071992
wine,11,compact_refinement_steps,5.0,0.8974949815093207
wine,11,compact_refinement_steps,10.0,0.8974949815093207
wine,11,compact_refinement_steps,18.0,0.8974949815093207
wine,11,compact_refinement_steps,30.0,0.8974949815093207
wine,11,compact_refinement_restarts,1.0,0.8803997758776985
wine,11,compact_refinement_restarts,3.0,0.8974949815093207
wine,11,compact_refinement_restarts,5.0,0.8974949815093207
wine,11,compact_refinement_restarts,10.0,0.8974949815093207
wine,11,compact_refinement_restarts,15.0,0.8974949815093207
digits_0_4,11,organ_merge_radius,2.8,0.7795342806637048
digits_0_4,11,organ_merge_radius,3.2,0.7795342806637048
digits_0_4,11,organ_merge_radius,3.6,0.7795342806637048
digits_0_4,11,organ_merge_radius,4.0,0.7795342806637048
digits_0_4,11,organ_merge_radius,4.4,0.7795342806637048
digits_0_4,11,tangent_alignment,0.0,0.7795342806637048
digits_0_4,11,tangent_alignment,0.2,0.7795342806637048
digits_0_4,11,tangent_alignment,0.35,0.7795342806637048
digits_0_4,11,tangent_alignment,0.5,0.7795342806637048
digits_0_4,11,tangent_alignment,0.65,0.7795342806637048
digits_0_4,11,compact_refinement_steps,0.0,0.18494169113924225
digits_0_4,11,compact_refinement_steps,5.0,0.6759676479322433
digits_0_4,11,compact_refinement_steps,10.0,0.6996428350999486
digits_0_4,11,compact_refinement_steps,18.0,0.7795342806637048
digits_0_4,11,compact_refinement_steps,30.0,0.7795342806637048
digits_0_4,11,compact_refinement_restarts,1.0,0.4634400909746255
digits_0_4,11,compact_refinement_restarts,3.0,0.6738337626927887
digits_0_4,11,compact_refinement_restarts,5.0,0.6738337626927887
digits_0_4,11,compact_refinement_restarts,10.0,0.7795342806637048
digits_0_4,11,compact_refinement_restarts,15.0,0.7795342806637048
