combination,dataset,seed,growth_rate,inhibition,organ_merge_radius,valley_ratio,tangent_alignment,max_bridge_void,birth_quantile,steps,ari
7,two_moons,3,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,1.0
7,two_moons,7,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,1.0
7,two_moons,11,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,1.0
7,circles,3,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,1.0
7,circles,7,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,1.0
7,circles,11,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,1.0
7,varied_density,3,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.006667764499933389
7,varied_density,7,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.015446391439316523
7,varied_density,11,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.01336086369006191
7,wine,3,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.8974949815093207
7,wine,7,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.8974949815093207
7,wine,11,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.8974949815093207
7,digits_0_4,3,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.7819593312981957
7,digits_0_4,7,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.7789122155744361
7,digits_0_4,11,0.18,0.045,3.6,0.18,0.35,0.52,0.92,120,0.7821108165634358
