dataset,family,algorithm,seed,n_samples,n_features,true_clusters,seconds,ari,nmi,clusters_found,silhouette,davies_bouldin,calinski_harabasz
anisotropic_blobs,synthetic_gaussian,MBC_micro_only,3,500,2,4,0.23746079998090863,0.8080519764235402,0.8654112290323273,8.0,0.556488748176369,0.6968951300140392,3565.4425166164215
ecoli,real_tabular,MBC,3,336,7,8,0.25973129994235933,0.511720691447483,0.6393420760784769,8.0,0.2600049755569184,1.0883441568852685,163.04415305045495
ecoli,real_tabular,MBC_no_compact,3,336,7,8,0.1914593999972567,0.047324104053972964,0.1218961486350463,4.0,0.2594133086053327,1.1990625876078536,37.14438554975811
ecoli,real_tabular,MBC_no_polarity,3,336,7,8,0.23481320007704198,0.511720691447483,0.6393420760784769,8.0,0.2600049755569184,1.0883441568852685,163.04415305045495
ecoli,real_tabular,MBC_no_capillary,3,336,7,8,0.23972670000512153,0.511720691447483,0.6393420760784769,8.0,0.2600049755569184,1.0883441568852685,163.04415305045495
ecoli,real_tabular,MBC_micro_only,3,336,7,8,0.22573289996944368,0.635741728844286,0.5840354661269214,6.0,0.3833144498319392,1.050516873366517,106.95888524987083
glass,real_tabular,MBC,3,214,9,6,0.2288527999771759,0.1432243010535837,0.27152394317620926,6.0,0.32459145227313213,0.979216638384298,62.474523071472724
glass,real_tabular,MBC_no_compact,3,214,9,6,0.18670289998408407,0.18304891605162266,0.3537002745615095,5.0,0.4378526054325514,1.0896884974383616,43.60397060138231
glass,real_tabular,MBC_no_polarity,3,214,9,6,0.19526340009178966,0.1432243010535837,0.27152394317620926,6.0,0.32459145227313213,0.979216638384298,62.474523071472724
glass,real_tabular,MBC_no_capillary,3,214,9,6,0.20512270007748157,0.1432243010535837,0.27152394317620926,6.0,0.32459145227313213,0.979216638384298,62.474523071472724
glass,real_tabular,MBC_micro_only,3,214,9,6,0.20914230006746948,0.18304891605162266,0.3537002745615095,5.0,0.4378526054325514,1.0896884974383616,43.60397060138231
vehicle,real_tabular,MBC,3,846,10,4,1.8885722000850365,0.07612445208069152,0.11648453669873902,4.0,0.3103009817804056,1.0500180040586127,446.2589756245296
vehicle,real_tabular,MBC_no_compact,3,846,10,4,1.852538499981165,0.029675461648687233,0.0904330459756285,4.0,0.023168791783845996,1.3072044829609313,111.32541953774852
vehicle,real_tabular,MBC_no_polarity,3,846,10,4,1.8663154999958351,0.07612445208069152,0.11648453669873902,4.0,0.3103009817804056,1.0500180040586127,446.2589756245296
vehicle,real_tabular,MBC_no_capillary,3,846,10,4,1.8664778000675142,0.07612445208069152,0.11648453669873902,4.0,0.3103009817804056,1.0500180040586127,446.2589756245296
vehicle,real_tabular,MBC_micro_only,3,846,10,4,1.8851668999996036,0.08852313488931561,0.22182127506209334,27.0,0.1644386879703935,1.4917239834504268,158.33412343366243
cmc,real_tabular,MBC,3,1473,9,3,2.220329799922183,0.023244646958711937,0.04317031773978956,3.0,0.20081765223850556,1.7058769320911307,321.32920417037985
cmc,real_tabular,MBC_no_compact,3,1473,9,3,2.208176300046034,0.00675409614658382,0.021878950516483937,3.0,0.23140915047740632,1.4129522672585786,261.5135942470247
cmc,real_tabular,MBC_no_polarity,3,1473,9,3,2.335339599987492,0.023244646958711937,0.04317031773978956,3.0,0.20081765223850556,1.7058769320911307,321.32920417037985
cmc,real_tabular,MBC_no_capillary,3,1473,9,3,2.2300786999985576,0.023244646958711937,0.04317031773978956,3.0,0.20081765223850556,1.7058769320911307,321.32920417037985
cmc,real_tabular,MBC_micro_only,3,1473,9,3,2.27363409998361,0.007293416552820643,0.03931452001618502,30.0,0.18417342722755356,1.4975275155900187,143.38927027768307
wdbc,real_tabular,MBC,3,569,10,2,0.49231260002125055,0.6707206476880808,0.554612218410556,2.0,0.35798642260745267,1.2596588947907137,288.1245704093846
wdbc,real_tabular,MBC_no_compact,3,569,10,2,0.4902845999458805,0.017291523464991028,0.0337862895590018,2.0,0.4602391785256835,0.8592339647773636,32.04552336622119
wdbc,real_tabular,MBC_no_polarity,3,569,10,2,0.47263260011095554,0.6707206476880808,0.554612218410556,2.0,0.35798642260745267,1.2596588947907137,288.1245704093846
wdbc,real_tabular,MBC_no_capillary,3,569,10,2,0.5228260000003502,0.6707206476880808,0.554612218410556,2.0,0.35798642260745267,1.2596588947907137,288.1245704093846
wdbc,real_tabular,MBC_micro_only,3,569,10,2,0.4933174999896437,0.4507106880472348,0.38871018688399545,14.0,0.15438281876591745,1.5171020001237203,68.25143360641255
iris,real_low_dim,MBC,7,150,4,3,0.23104499990586191,0.6201351808870379,0.659486892724918,3.0,0.45994823920518635,0.8335949464754338,241.90440170183157
iris,real_low_dim,MBC_no_compact,7,150,4,3,0.20587790000718087,0.5437515388376617,0.6924541904553437,2.0,0.5770346019475988,0.5916560992933364,240.24566522437965
iris,real_low_dim,MBC_no_polarity,7,150,4,3,0.22424220002721995,0.6201351808870379,0.659486892724918,3.0,0.45994823920518635,0.8335949464754338,241.90440170183157
iris,real_low_dim,MBC_no_capillary,7,150,4,3,0.21367870003450662,0.6201351808870379,0.659486892724918,3.0,0.45994823920518635,0.8335949464754338,241.90440170183157
iris,real_low_dim,MBC_micro_only,7,150,4,3,0.2045540000544861,0.39675568815248446,0.5432000432687071,7.0,0.3384561000378797,0.8721177935526406,161.00254381907962
wine,real_tabular,MBC,7,178,10,3,0.28107510006520897,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
wine,real_tabular,MBC_no_compact,7,178,10,3,0.2383325999835506,-0.01027602053357585,0.05026238811434723,3.0,0.05323358694949977,1.4886440646493995,5.101102842005094
wine,real_tabular,MBC_no_polarity,7,178,10,3,0.24496979999821633,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
wine,real_tabular,MBC_no_capillary,7,178,10,3,0.23734029999468476,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
wine,real_tabular,MBC_micro_only,7,178,10,3,0.2394999999087304,0.7333177939850337,0.7395426151632328,7.0,0.24023174313170925,1.279558812155938,37.50114812040104
breast_cancer,real_tabular,MBC,7,569,10,2,0.46957499999552965,0.6707206476880808,0.5546122184105559,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_no_compact,7,569,10,2,0.44913399999495596,0.014754127895842538,0.029230917160688052,2.0,0.4771024079800237,0.8105782742255567,30.259111651239376
breast_cancer,real_tabular,MBC_no_polarity,7,569,10,2,0.4495071000419557,0.6707206476880808,0.5546122184105559,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_no_capillary,7,569,10,2,0.45967949996702373,0.6707206476880808,0.5546122184105559,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_micro_only,7,569,10,2,0.47475139994639903,0.36885928132071977,0.3800171728545495,15.0,0.1595939889342516,1.5591774753575554,69.80548444581622
digits_0_4,real_image_features,MBC,7,901,10,5,0.9034752000588924,0.7850577933881904,0.7932344237396985,5.0,0.29797881246626917,1.4635474925169862,212.2854615056062
digits_0_4,real_image_features,MBC_no_compact,7,901,10,5,0.8109703999944031,0.19279399232338823,0.37241826810445117,5.0,0.07510756113230393,1.959033438225887,65.78145328676993
digits_0_4,real_image_features,MBC_no_polarity,7,901,10,5,0.8680677000666037,0.7850577933881904,0.7932344237396985,5.0,0.29797881246626917,1.4635474925169862,212.2854615056062
digits_0_4,real_image_features,MBC_no_capillary,7,901,10,5,0.8677299000555649,0.7850577933881904,0.7932344237396985,5.0,0.29797881246626917,1.4635474925169862,212.2854615056062
digits_0_4,real_image_features,MBC_micro_only,7,901,10,5,0.9291046999860555,0.5780835561871129,0.6937609660807017,17.0,0.3153678605307892,1.3430000605045522,151.34300075268084
two_moons,nonconvex,MBC,7,500,2,2,0.43490590003784746,1.0,1.0,2.0,0.3853538871290773,1.0267588048449594,426.73751634855984
two_moons,nonconvex,MBC_no_compact,7,500,2,2,0.4227948000188917,1.0,1.0,2.0,0.3853538871290773,1.0267588048449594,426.73751634855984
two_moons,nonconvex,MBC_no_polarity,7,500,2,2,0.41181090008467436,1.0,1.0,2.0,0.3853538871290773,1.0267588048449594,426.73751634855984
two_moons,nonconvex,MBC_no_capillary,7,500,2,2,0.42662669997662306,1.0,1.0,2.0,0.3853538871290773,1.0267588048449594,426.73751634855984
two_moons,nonconvex,MBC_micro_only,7,500,2,2,0.44507819996215403,0.1355597313445575,0.4074545815740649,16.0,0.4809272525802611,0.6155352983208999,1375.053736663312
circles,nonconvex,MBC,7,500,2,2,0.5313303999137133,1.0,1.0,2.0,0.14659481407839264,316.5630167905514,0.004263491992711545
circles,nonconvex,MBC_no_compact,7,500,2,2,0.5457446000073105,1.0,1.0,2.0,0.14659481407839264,316.5630167905514,0.004263491992711545
circles,nonconvex,MBC_no_polarity,7,500,2,2,0.518221199978143,1.0,1.0,2.0,0.14659481407839264,316.5630167905514,0.004263491992711545
circles,nonconvex,MBC_no_capillary,7,500,2,2,0.5229102000594139,1.0,1.0,2.0,0.14659481407839264,316.5630167905514,0.004263491992711545
circles,nonconvex,MBC_micro_only,7,500,2,2,0.538660499965772,0.11866705134488681,0.386600087360544,20.0,0.47449846920380956,0.5710342193873037,797.5274164664809
noisy_moons,nonconvex,MBC,7,500,2,2,0.4937509000301361,0.9919999681285151,0.981182940453905,2.0,0.37006986693649746,1.051324748213908,401.92449690146316
noisy_moons,nonconvex,MBC_no_compact,7,500,2,2,0.49104829994030297,0.9919999681285151,0.981182940453905,2.0,0.37006986693649746,1.051324748213908,401.92449690146316
noisy_moons,nonconvex,MBC_no_polarity,7,500,2,2,0.476182600017637,0.0,0.0,1.0,,,
noisy_moons,nonconvex,MBC_no_capillary,7,500,2,2,0.44362829998135567,0.9919999681285151,0.981182940453905,2.0,0.37006986693649746,1.051324748213908,401.92449690146316
noisy_moons,nonconvex,MBC_micro_only,7,500,2,2,0.4503779999213293,0.13911791890812342,0.4041105721802387,16.0,0.40396050263193195,0.7451432550445725,869.3862600606042
