index,dataset,family,algorithm,ari_mean,ari_std,nmi_mean,nmi_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std,seconds_mean,seconds_std,clusters_found_mean,clusters_found_std
29,ecoli,real_tabular,MBC_no_polarity,0.5278932032402934,0.036015875804126976,0.6378804202886389,0.010543067669467152,0.26714720791992513,0.013769433503979158,1.0773950065328464,0.02518744470455385,162.50783598977742,0.8842140321602379,0.2425258800154552,0.0062195027927907645,8.0,0.0
30,glass,real_tabular,MBC,0.16039876537470468,0.010740085742564222,0.29981766407001575,0.017802268006891473,0.32360720254383935,0.0012363651760221724,0.9889405986670807,0.015562603281973984,62.66025884623112,0.19080605142420906,0.22813775998074562,0.007331582606562072,6.0,0.0
31,glass,real_tabular,MBC_micro_only,0.1679222063578542,0.07122551307578157,0.30689627727466345,0.08533462938065402,0.38286715364074936,0.044536241619149486,1.1603542710652948,0.16660940061279733,32.64372246466449,9.377203367518083,0.21293014001566918,0.007872698916359947,6.0,0.7071067811865476
32,glass,real_tabular,MBC_no_capillary,0.16039876537470468,0.010740085742564222,0.29981766407001575,0.017802268006891473,0.32360720254383935,0.0012363651760221724,0.9889405986670807,0.015562603281973984,62.66025884623112,0.19080605142420906,0.21733729999978096,0.010073748028479464,6.0,0.0
33,glass,real_tabular,MBC_no_compact,0.16966522023359878,0.0722886376733235,0.31196440538884596,0.0857904154254967,0.3900504406172785,0.03436868950599637,1.1622477092084593,0.16473839428652298,31.962936140244665,9.733938184678077,0.2025938799837604,0.016982935544774876,5.8,0.44721359549995787
34,glass,real_tabular,MBC_no_polarity,0.16039876537470468,0.010740085742564222,0.29981766407001575,0.017802268006891473,0.32360720254383935,0.0012363651760221724,0.9889405986670807,0.015562603281973984,62.66025884623112,0.19080605142420906,0.210989040043205,0.009585107169147247,6.0,0.0
35,iris,real_low_dim,MBC,0.6161102487436471,0.005511365318406961,0.6567154164383502,0.003795000199359604,0.45972011182109834,0.0003123762856241699,0.8337570296745025,0.00022194156080636095,241.89994596832625,0.006101264377733172,0.23661729996092618,0.015316981279452855,3.0,0.0
36,iris,real_low_dim,MBC_micro_only,0.4180932325130261,0.03520843025648881,0.572482541424288,0.03394419843510381,0.32934993396399104,0.02982658620677052,0.9231902944685244,0.06368517937013417,165.09025668232906,23.088392981400784,0.20972627999726684,0.0071131694306755585,6.6,1.140175425099138
37,iris,real_low_dim,MBC_no_capillary,0.6161102487436471,0.005511365318406961,0.6567154164383502,0.003795000199359604,0.45972011182109834,0.0003123762856241699,0.8337570296745025,0.00022194156080636095,241.89994596832625,0.006101264377733172,0.2124276400078088,0.009464501265320176,3.0,0.0
38,iris,real_low_dim,MBC_no_compact,0.5532835924014498,0.012269246526296896,0.7039308317342338,0.023425878000293707,0.5427240487952714,0.04981244833583473,0.571634554858863,0.045295133128649835,202.735278646701,60.1661762151434,0.2046168599743396,0.003113191458446658,2.4,0.5477225575051661
